,year_end_index,week_end_index,day_end_index,mse,sqrt_mse
410,8.0,144.0,6.0,309796033.3230936,17601.02364418313
411,8.0,144.0,8.0,311340672.3974477,17644.8483245804
412,8.0,144.0,10.0,311840722.4291269,17659.012498696717
413,8.0,144.0,12.0,311867568.70657814,17659.772611972618
414,8.0,144.0,14.0,311919911.66536695,17661.254532602346
415,8.0,144.0,16.0,311999843.7243316,17663.517308971383
416,8.0,144.0,18.0,311912763.1045493,17661.052151685337
417,8.0,144.0,20.0,311896309.3400518,17660.586324922842
418,8.0,144.0,22.0,311900296.04698735,17660.69919473709
419,10.0,0.0,0.0,16245507207.295446,127457.86443878403
420,10.0,0.0,2.0,19992558125.891914,141395.04279108203
421,10.0,0.0,4.0,21223192815.969833,145681.82047177278
422,10.0,0.0,6.0,21214553346.127346,145652.1656074064
423,10.0,0.0,8.0,21112279653.508514,145300.65262588643
424,10.0,0.0,10.0,21100817531.18559,145261.20449447466
425,10.0,0.0,12.0,21099762885.45466,145257.57427912205
426,10.0,0.0,14.0,21090706653.602432,145226.3979227001
427,10.0,0.0,16.0,21096975318.822605,145247.9787082168
428,10.0,0.0,18.0,21082385666.163353,145197.74676682608
429,10.0,0.0,20.0,21095681636.752068,145243.5252834083
430,10.0,0.0,22.0,21092866201.647575,145233.83284086245
431,10.0,24.0,0.0,16017630861.193226,126560.77931647397
432,10.0,24.0,2.0,19827821096.898903,140811.29605574583
433,10.0,24.0,4.0,21098007155.532024,145251.53064781116
434,10.0,24.0,6.0,21086686309.441284,145212.55561913812
435,10.0,24.0,8.0,20992806146.10119,144888.94418174628
436,10.0,24.0,10.0,20963094265.6023,144786.37458546401
437,10.0,24.0,12.0,20959301228.37391,144773.27525608416
438,10.0,24.0,14.0,20969650547.208412,144809.01403990158
439,10.0,24.0,16.0,20961520835.78992,144780.9408582149
440,10.0,24.0,18.0,20964745553.396152,144792.07697037898
441,10.0,24.0,20.0,20962250423.685955,144783.46046315494
442,10.0,24.0,22.0,20961975519.03239,144782.51109520235
443,10.0,48.0,0.0,15978897177.571987,126407.66265370145
444,10.0,48.0,2.0,19775412382.07198,140625.07735845688
445,10.0,48.0,4.0,21032046044.735,145024.29467070336
446,10.0,48.0,6.0,21020796386.66953,144985.50405702472
447,10.0,48.0,8.0,20925859845.422127,144657.73344492208
448,10.0,48.0,10.0,20895873136.369637,144554.0491870416
449,10.0,48.0,12.0,20902192973.560196,144575.9073067162
450,10.0,48.0,14.0,20905426767.471928,144587.09059757696
451,10.0,48.0,16.0,20903036694.53823,144578.82519421104
452,10.0,48.0,18.0,20883934649.267727,144512.7490890258
453,10.0,48.0,20.0,20905130907.83352,144586.0674748211
454,10.0,48.0,22.0,20898244308.33206,144562.25063387767
455,10.0,72.0,0.0,16014544317.84328,126548.58481169704
456,10.0,72.0,2.0,19811235565.846855,140752.3909773715
457,10.0,72.0,4.0,21067537294.21331,145146.6062097675
458,10.0,72.0,6.0,21059826386.867992,145120.0412998425
459,10.0,72.0,8.0,20960861732.708687,144778.66463228856
460,10.0,72.0,10.0,20922881922.500313,144647.44008277613
461,10.0,72.0,12.0,20930530219.331078,144673.87538643967
462,10.0,72.0,14.0,20922144582.86283,144644.8913127001
463,10.0,72.0,16.0,20923225838.69892,144648.62888634278
464,10.0,72.0,18.0,20941759034.679146,144712.67751886544
465,10.0,72.0,20.0,20922616796.114426,144646.5236226382
466,10.0,72.0,22.0,20923255689.15675,144648.73206895645
467,10.0,96.0,0.0,16032420400.102142,126619.19443789769
468,10.0,96.0,2.0,19802751295.51818,140722.24875803464
469,10.0,96.0,4.0,21062091883.832336,145127.84668640382
470,10.0,96.0,6.0,21053342019.194466,145097.69818709898
471,10.0,96.0,8.0,20954703584.524284,144757.3956125361
472,10.0,96.0,10.0,20916946026.868134,144626.92013200079
473,10.0,96.0,12.0,20939981336.216507,144706.53522290036
474,10.0,96.0,14.0,20925053261.317516,144654.94551282204
475,10.0,96.0,16.0,20916519857.014183,144625.44678241856
476,10.0,96.0,18.0,20928722986.44378,144667.62936622615
477,10.0,96.0,20.0,20919175065.660816,144634.6260950704
478,10.0,96.0,22.0,20932596454.050037,144681.0162186112
479,10.0,120.0,0.0,16008029649.486383,126522.84240201997
480,10.0,120.0,2.0,19808445530.191994,140742.47948004893
481,10.0,120.0,4.0,21061871469.348003,145127.0873040178
482,10.0,120.0,6.0,21051859476.49168,145092.58932313422
483,10.0,120.0,8.0,20960547649.7948,144777.57992795293
484,10.0,120.0,10.0,20924994464.08945,144654.74227998697
485,10.0,120.0,12.0,20926010965.57789,144658.25578091937
486,10.0,120.0,14.0,20926840085.94821,144661.12154254926
487,10.0,120.0,16.0,20929694309.814552,144670.98641335985
488,10.0,120.0,18.0,20918529218.22857,144632.39339175913
489,10.0,120.0,20.0,20921317231.395782,144642.03134426652
490,10.0,120.0,22.0,20927935576.34745,144664.90789527172
491,10.0,144.0,0.0,16039615722.49847,126647.604487801
492,10.0,144.0,2.0,19813321740.38811,140759.80157839137
493,10.0,144.0,4.0,21058938841.44506,145116.98329776933
494,10.0,144.0,6.0,21054501919.094925,145101.69509380285
495,10.0,144.0,8.0,20950672561.575184,144743.4715680648
496,10.0,144.0,10.0,20925626268.34205,144656.92609875978
497,10.0,144.0,12.0,20915146322.375908,144620.69811190895
498,10.0,144.0,14.0,20930573363.9218,144674.02449618175
499,10.0,144.0,16.0,20913979737.726723,144616.6647994854
500,10.0,144.0,18.0,20921331279.982502,144642.07990755147
501,10.0,144.0,20.0,20930226222.436806,144672.8247544673
502,10.0,144.0,22.0,20931691004.610374,144677.88706160444
503,12.0,0.0,0.0,178219211444.97318,422160.17273657303
504,12.0,0.0,2.0,97953100056.78795,312974.5996990618
505,12.0,0.0,4.0,78847101410.33179,280797.2603326674
506,12.0,0.0,6.0,79642999275.7037,282210.91275091347
507,12.0,0.0,8.0,80403962147.92133,283555.9241982458
508,12.0,0.0,10.0,80647706640.005,283985.39863874164
509,12.0,0.0,12.0,80490803988.33424,283709.0128782204
510,12.0,0.0,14.0,80362531690.01582,283482.85960533103
511,12.0,0.0,16.0,81109037006.72192,284796.4834872824
512,12.0,0.0,18.0,80338677161.11589,283440.78245925705
513,12.0,0.0,20.0,80582749251.49948,283871.0081207651
514,12.0,0.0,22.0,79991432097.67397,282827.5660144781
515,12.0,24.0,0.0,107831637533.75793,328377.27925932687
516,12.0,24.0,2.0,48186689473.9796,219514.66801555562
517,12.0,24.0,4.0,34649988452.682014,186145.07367288024
518,12.0,24.0,6.0,34778420093.91454,186489.73187260082
519,12.0,24.0,8.0,35507102468.26076,188433.28386530007
520,12.0,24.0,10.0,35804942337.30486,189221.93936566886
521,12.0,24.0,12.0,36354514952.76954,190668.59980806892
522,12.0,24.0,14.0,35746273467.38398,189066.8492025611
523,12.0,24.0,16.0,35598237644.4265,188674.95235040208
524,12.0,24.0,18.0,35830542477.6259,189289.5730821587
525,12.0,24.0,20.0,35856038718.55348,189356.9082937126
526,12.0,24.0,22.0,36028157179.16068,189810.84578906622
527,12.0,48.0,0.0,106071714563.67169,325686.52806597896
528,12.0,48.0,2.0,49241393804.15265,221904.0193510533
529,12.0,48.0,4.0,35374234240.95309,188080.39302636808
530,12.0,48.0,6.0,35528044962.084785,188488.84572325437
531,12.0,48.0,8.0,36310987087.15884,190554.42027714508
532,12.0,48.0,10.0,36826932990.94886,191903.44705332644
533,12.0,48.0,12.0,36467362740.96626,190964.29703210562
534,12.0,48.0,14.0,36824947818.0034,191898.27466135126
535,12.0,48.0,16.0,36200063361.958115,190263.14241586076
536,12.0,48.0,18.0,36484737676.94801,191009.78424402248
537,12.0,48.0,20.0,36255708865.40229,190409.31927141143
538,12.0,48.0,22.0,36755112099.806015,191716.2280554414
539,12.0,72.0,0.0,109684316478.27325,331186.2262810355
540,12.0,72.0,2.0,48333704370.73154,219849.27648443953
541,12.0,72.0,4.0,34345233249.105133,185324.6698340648
542,12.0,72.0,6.0,34700371700.758385,186280.3577964096
543,12.0,72.0,8.0,35983333962.92772,189692.735661985
544,12.0,72.0,10.0,36640551559.35167,191417.2185550497
545,12.0,72.0,12.0,35827261224.59174,189280.9055995658
546,12.0,72.0,14.0,36347661815.0664,190650.62762830444
547,12.0,72.0,16.0,35583071418.54393,188634.75665567024
548,12.0,72.0,18.0,36482286262.28405,191003.36714907424
549,12.0,72.0,20.0,35890654281.94302,189448.28920299868
550,12.0,72.0,22.0,36129901818.437,190078.6727080053
551,12.0,96.0,0.0,107547546337.25992,327944.42568407825
552,12.0,96.0,2.0,49752290444.15999,223052.2146138881
553,12.0,96.0,4.0,34860267773.64758,186709.04577349106
554,12.0,96.0,6.0,35123096130.46218,187411.56882770653
555,12.0,96.0,8.0,36025760184.17958,189804.53151645136
556,12.0,96.0,10.0,36996528870.85676,192344.81763452
557,12.0,96.0,12.0,35751228545.14524,189079.95278491382
558,12.0,96.0,14.0,36195365536.43201,190250.7964147115
559,12.0,96.0,16.0,36480106546.95092,190997.66110335206
560,12.0,96.0,18.0,36235110537.06325,190355.2219852748
561,12.0,96.0,20.0,36109983636.00563,190026.27091011818
562,12.0,96.0,22.0,36204026326.88199,190273.55656233997
563,12.0,120.0,0.0,106173909168.69588,325843.3813486103
564,12.0,120.0,2.0,49031613141.72737,221430.83150665215
565,12.0,120.0,4.0,34816267589.159485,186591.17768308203
566,12.0,120.0,6.0,34936266963.47762,186912.4580210683
567,12.0,120.0,8.0,35414134690.300644,188186.43598915584
568,12.0,120.0,10.0,36894454388.38523,192079.29193014334
569,12.0,120.0,12.0,36276977129.03703,190465.1598824232
570,12.0,120.0,14.0,36015052340.897606,189776.32186576282
571,12.0,120.0,16.0,36349648876.4468,190655.83882075787
572,12.0,120.0,18.0,36112089425.90028,190031.8116155826
573,12.0,120.0,20.0,35786347696.41966,189172.79851083152
574,12.0,120.0,22.0,35980161281.55845,189684.37279216875
575,12.0,144.0,0.0,109672035016.45091,331167.6841366786
576,12.0,144.0,2.0,48974983854.095375,221302.92328411608
577,12.0,144.0,4.0,34840853961.7536,186657.04905455245
578,12.0,144.0,6.0,35062653795.55677,187250.24377969917
579,12.0,144.0,8.0,36028617271.866516,189812.05776205714
580,12.0,144.0,10.0,36748505883.512985,191698.99812861043
581,12.0,144.0,12.0,36698184393.48723,191567.70185364553
582,12.0,144.0,14.0,35919609729.51941,189524.69424726535
583,12.0,144.0,16.0,36419104669.548744,190837.9015540381
584,12.0,144.0,18.0,36569935728.26058,191232.67432178158
585,12.0,144.0,20.0,35789506015.110306,189181.14603498497
586,12.0,144.0,22.0,35645414820.65409,188799.93331739842
587,14.0,0.0,0.0,223515722014330.1,14950442.20129726
588,14.0,0.0,2.0,197442674017044.62,14051429.607589565
589,14.0,0.0,4.0,192458367102889.06,13872936.498913597
590,14.0,0.0,6.0,192048037873468.56,13858139.769589156
591,14.0,0.0,8.0,189316980708228.75,13759250.732079444
592,14.0,0.0,10.0,192278089157349.2,13866437.507786533
593,14.0,0.0,12.0,191235711129346.5,13828800.061080733
594,14.0,0.0,14.0,190707510691307.3,13809689.015010703
595,14.0,0.0,16.0,192115754047988.3,13860582.745613126
596,14.0,0.0,18.0,191900217280115.8,13852805.393858524
597,14.0,0.0,20.0,192279254929097.88,13866479.54345651
598,14.0,0.0,22.0,190139052345341.0,13789091.788270213
599,14.0,24.0,0.0,182519595149952.97,13509981.31567742
600,14.0,24.0,2.0,157905670637737.28,12566052.309207426
601,14.0,24.0,4.0,153507052997761.5,12389796.325919224
602,14.0,24.0,6.0,151806526168640.78,12320979.107548263
603,14.0,24.0,8.0,156228630652535.0,12499145.196873864
604,14.0,24.0,10.0,154053539642650.8,12411830.632209368
605,14.0,24.0,12.0,156062464029771.06,12492496.308975684
606,14.0,24.0,14.0,153918105771230.2,12406373.59469842
607,14.0,24.0,16.0,153699357370960.2,12397554.491550347
608,14.0,24.0,18.0,155127803158410.7,12455031.238756917
609,14.0,24.0,20.0,154374772983939.6,12424764.504164238
610,14.0,24.0,22.0,154909802169555.75,12446276.638800688
611,14.0,48.0,0.0,175845510415951.25,13260675.33785332
612,14.0,48.0,2.0,94174834738190.1,9704371.939398762
613,14.0,48.0,4.0,154200158781811.47,12417735.654369982
614,14.0,48.0,6.0,154485455566336.3,12429217.81796169
615,14.0,48.0,8.0,154065103408762.34,12412296.45991274
616,14.0,48.0,10.0,154024750826038.94,12410670.845125131
617,14.0,48.0,12.0,154265124099879.44,12420351.206784751
618,14.0,48.0,14.0,155007372182486.78,12450195.668441793
619,14.0,48.0,16.0,153932974260672.28,12406972.8080895
620,14.0,48.0,18.0,153754970169808.94,12399797.182607824
