,selected columns,mse,sqrt_mse
1586,"(1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0)",288008.11496040114,536.663875214646
1587,"(1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1)",291142.8358664135,539.5765338359457
1588,"(1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0)",286362.30544753454,535.1283074623642
1589,"(1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1)",290701.24471531436,539.1671769639862
1590,"(1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0)",286364.9737178416,535.1308005692082
1591,"(1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1)",290702.8316679072,539.1686486322319
1592,"(1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0)",281347.31870059564,530.4218309049842
1593,"(1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1)",283287.3386784048,532.2474412135814
1594,"(1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0)",281350.08585092064,530.4244393416659
1595,"(1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1)",283287.94295628835,532.2480088795902
1596,"(1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0)",281176.27606391767,530.2605737407955
1597,"(1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1)",283474.4910637707,532.4232255112194
1598,"(1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0)",281178.97476598393,530.26311842894
1599,"(1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1)",283475.0672648163,532.4237666228062
1600,"(1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0)",312579.9160626268,559.0884689050802
1601,"(1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1)",273409.8487834794,522.8860762952858
1602,"(1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0)",312583.4827447146,559.0916586255912
1603,"(1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1)",273411.54405113374,522.8876973606606
1604,"(1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0)",310221.61621930386,556.975417966811
1605,"(1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1)",273517.12563450664,522.9886477109294
1606,"(1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0)",310225.062472373,556.9785116791967
1607,"(1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1)",273518.77051057236,522.9902202819593
1608,"(1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0)",299530.79963353573,547.2940705265642
1609,"(1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1)",263072.43551762745,512.9058739355862
1610,"(1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0)",299534.3149748293,547.2972820824431
1611,"(1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1)",263074.0021067333,512.907401103487
1612,"(1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0)",296972.6344917327,544.9519561316691
1613,"(1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1)",263173.4138345459,513.0043019649503
1614,"(1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0)",296976.0175638304,544.9550601323291
1615,"(1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1)",263174.92885401833,513.0057785776086
1616,"(1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0)",307559.49334313517,554.5804660670399
1617,"(1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1)",269576.9959620665,519.2080468964888
1618,"(1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0)",307562.8927847935,554.583530935416
1619,"(1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1)",269578.6940889766,519.2096821987977
1620,"(1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0)",301562.2913794901,549.1468759626063
1621,"(1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1)",268917.8926924183,518.5729386425967
1622,"(1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0)",301565.38194335316,549.1496899237521
1623,"(1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1)",268919.5201262898,518.574507786769
1624,"(1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0)",300550.29698156874,548.2246774649685
1625,"(1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1)",263320.0205159011,513.1471723744575
1626,"(1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0)",300554.1631732816,548.2282035551268
1627,"(1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1)",263321.633574441,513.148744102956
1628,"(1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0)",298586.85583834024,546.4310165412833
1629,"(1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1)",263450.3458587852,513.2741429867525
1630,"(1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0)",298590.6672831347,546.4345041110918
1631,"(1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1)",263451.8459122545,513.2756042442057
1632,"(1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0)",290596.23100366024,539.0697830556451
1633,"(1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1)",292418.5557631938,540.7573908539705
1634,"(1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0)",290598.9657067948,539.0723195516487
1635,"(1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1)",292419.3264260951,540.7581034308179
1636,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0)",290449.85683183756,538.9340004414618
1637,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1)",292326.11365537246,540.6719094380367
1638,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0)",290452.54815967305,538.9364973349578
1639,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1)",292326.908470625,540.6726444630106
1640,"(1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0)",280467.832542987,529.5921379165169
1641,"(1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1)",284380.43722194474,533.2733231860982
1642,"(1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0)",280470.4202771371,529.5945810496337
1643,"(1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1)",284380.9630002594,533.2738161585091
